bmc_sample_code,sample,run_code
D18-218001-lane1,a01_D02_lane1,lane1
D18-218001-lane2,a01_D02_lane2,lane2
D18-218002-lane1,b03_D02_lane1,lane1
D18-218002-lane2,b03_D02_lane2,lane2
D18-218003-lane1,c05_D02_lane1,lane1
D18-218003-lane2,c05_D02_lane2,lane2
D18-218004-lane1,a07_D03_lane1,lane1
D18-218004-lane2,a07_D03_lane2,lane2
D18-218005-lane1,b09_D03_lane1,lane1
D18-218005-lane2,b09_D03_lane2,lane2
D18-218006-lane1,a01_D04_lane1,lane1
D18-218006-lane2,a01_D04_lane2,lane2
D18-218007-lane1,b03_D04_lane1,lane1
D18-218007-lane2,b03_D04_lane2,lane2
D18-218008-lane1,c05_D04_lane1,lane1
D18-218008-lane2,c05_D04_lane2,lane2
D18-218009-lane1,a02_D02_lane1,lane1
D18-218009-lane2,a02_D02_lane2,lane2
D18-218010-lane1,b04_D02_lane1,lane1
D18-218010-lane2,b04_D02_lane2,lane2
D18-218011-lane1,c06_D02_lane1,lane1
D18-218011-lane2,c06_D02_lane2,lane2
D18-218012-lane1,a08_D03_lane1,lane1
D18-218012-lane2,a08_D03_lane2,lane2
D18-218013-lane1,b10_D03_lane1,lane1
D18-218013-lane2,b10_D03_lane2,lane2
D18-218014-lane1,a02_D04_lane1,lane1
D18-218014-lane2,a02_D04_lane2,lane2
D18-218015-lane1,b04_D04_lane1,lane1
D18-218015-lane2,b04_D04_lane2,lane2
D18-218016-lane1,c06_D04_lane1,lane1
D18-218016-lane2,c06_D04_lane2,lane2
D18-218017-lane1,a03_D02_lane1,lane1
D18-218017-lane2,a03_D02_lane2,lane2
D18-218018-lane1,b05_D02_lane1,lane1
D18-218018-lane2,b05_D02_lane2,lane2
D18-218019-lane1,c07_D02_lane1,lane1
D18-218019-lane2,c07_D02_lane2,lane2
D18-218020-lane1,a09_D03_lane1,lane1
D18-218020-lane2,a09_D03_lane2,lane2
D18-218021-lane1,c01_D03_lane1,lane1
D18-218021-lane2,c01_D03_lane2,lane2
D18-218022-lane1,a03_D04_lane1,lane1
D18-218022-lane2,a03_D04_lane2,lane2
D18-218023-lane1,b05_D04_lane1,lane1
D18-218023-lane2,b05_D04_lane2,lane2
D18-218024-lane1,c07_D04_lane1,lane1
D18-218024-lane2,c07_D04_lane2,lane2
D18-218025-lane1,a04_D02_lane1,lane1
D18-218025-lane2,a04_D02_lane2,lane2
D18-218026-lane1,b06_D02_lane1,lane1
D18-218026-lane2,b06_D02_lane2,lane2
D18-218027-lane1,c08_D02_lane1,lane1
D18-218027-lane2,c08_D02_lane2,lane2
D18-218028-lane1,a10_D03_lane1,lane1
D18-218028-lane2,a10_D03_lane2,lane2
D18-218029-lane1,c02_D03_lane1,lane1
D18-218029-lane2,c02_D03_lane2,lane2
D18-218030-lane1,a04_D04_lane1,lane1
